CASE_DESCRIPTION,CASE_TYPE,TITLE,LLM_Classification
"Unit trip : 12:27. This was following the loss of control of the HP Feed Reg Valve. Consequently, high temperatures occurred upstream of the HP Superheater 1 (>445°C). This initiated a GT Shutdown which was followed by a unit trip. The Unit was declared unavailable from 12:30 until 14:50 when it was made available in open cycle.",Process Safety,GT shutdown followed by Unit trip,Non-Process Safety
"U1 A SSFP tripped on protection, with B SSFP performance poor, load was lost and MEL reduced.",Process Safety,Op loss - Unit 1 A SSFP Tripped,Non-Process Safety
Die Bohrloecher auf +52m und +57m muessen verschlossen werden.,Process Safety,"KGW2 Sicherheitsbegehung 15.03.2022
Gipssilo: Bohrloecher verschliessen",Non-Process Safety
Utrymningsvag fungerade inte.,Process Safety,Utrymningsvag fungerade inte.,Non-Process Safety
"Thermal Diff instrument u/s, resulting in Mel reduction to 440MWso",Process Safety,PSO - U4 SSFP Leak-Off valve,Non-Process Safety
Trotz erreichen der Endlagenposition ZU kam es nach Abstellen der Gasturbine zu einem Gasdurchfluss durch das SSV 40MBP13AA051. Dadurch kam es zu einem Abblasen von CH4 ueber Dach.,Process Safety,Block 4 Fehlfunktion Schnellschlussventil 40MBP13AA051,Non-Process Safety
"Pruefen, ob eine Betaetigung mit Kette moeglich ist.",Process Safety,Sicherheitsbegehung SAHSS Projekt - UEbergang - Handabsperrung FW VL/RL,Non-Process Safety
"Bei dem abpumpen des Neutrabecken mit einer externen Pumpe, wurde festgestellt, dass in dem Neutrabecken eine unbeschriftete dreigliedrige Leider liegt. 
Auf Grund der bestehenden TUEV Plakette, kann davon ausgegangen werden, dass die Leiter noch nicht lange dort liegt.",Process Safety,Leiter in dem Neutrabecken,Non-Process Safety
"Nach dem Umbau der NSHVV wurde auch eine neu Tuere eingebaut, diese hat einen automatischen Schliesser. Wenn man den Raum betritt ist es durch die geoeffnete Tuer hell genug im Raum und man schaltet deshalb das Licht nicht ein.  Nach kurzer Zeil faellt die Tuere zu und es ist Stockfinster im Raum, meist befindet man sich da schon am anderen Ende des Raumes. Resultat Stolpergefahr",Process Safety,Beleuchtung NSHV,Non-Process Safety
WP4.1 Brandkabel skadad i 2T0602,Process Safety,WP4.1 Brandkabel skadad i 2T0602,Non-Process Safety
Wegen der zu starken Undichtigkeit Gleitringdichtung Hauptkondensatpumpe musste die Anfahrt abgebrochen werden,Process Safety,Gleitringdichtung stark undicht,Non-Process Safety
Work being carried out to clean CMB that was planned for tomorrow (15/04/21) without a safety document. Work had been assessed as a Limited Work Certificate on SAP and SAPR (SAP approved) which enabled toe work order to be printed off before a safety document had been written and safety document number annotated to MWO.,Process Safety,Work being carried out without a relevant safety document.,Non-Process Safety
Oskarshamn 3 - RA3-25 ERF - Objekt som star utanfor port 359 blev pabackat,Process Safety,Oskarshamn 3 - RA3-25 ERF - Objekt som star utanfor port 359 blev pabackat,Non-Process Safety
"Whilst carrying out brushgear changing on a running machine, following SAR-COP 15, a full holder of 6 brushes was removed, changed, and re-inserted into the brushgear. The brush holder was noticed to be tight on insertion, which is not uncommon, was removed and found to have a broken brush with part missing. The brush holder was checked by two experienced brush gear nominated CP's before it was returned to the brush box, the person carrying out the work was under training and the close supervision of the two experienced CP's.
The brushbox was then visually inspected by both experienced CP's but the broken off piece could not be found.
The area around the brush gear has also been checked and cleared.
This was Brush B12, it should be noted that the section missing is carbon only.

14/04/2024
Opportunity to visually inspect brush gear off load more thoroughly, no evidence of broken piece anywhere in brush box location, more confident that broken piece is not in brush box.",Process Safety,"Unit 71 Brushgear, possibility of snapped carbon brush dropped into slipring box.",Non-Process Safety
Whilst coming out of service MBFP tripped and ESV valve slammed shut,Process Safety,PSO - Unit 3 MBFP Protection Operated,Non-Process Safety
Oskarshamn 3 - RA3-23 ERF - Brannbart material pa aktiv sida,Process Safety,Oskarshamn 3 - RA3-23 ERF - Brannbart material pa aktiv sida,Non-Process Safety
Zur Reparatur einer FH-Leitung wurde eine Gelsenwasser-Leitung zum Teil frei gelegt. Es kam infolge der frostigen Witterung zum Einfrieren der Gelsenwasser-Leitung.,Process Safety,Eingefrorene Gelsenwasser-Leitung,Non-Process Safety
U8 gen Tx showing signs of gassing. pem 120 exclusion in force,Process Safety,U8 GEN TX,Non-Process Safety
During discussions with the Beran working party it became apparent that they had not been set to work correctly. They were working under a `Normal Routine Instruction` but this had not been signed by their Nominated Supervisor. The GSAF was also blank and had not been filled in.,Process Safety,Working Party not set to work correctly.,Non-Process Safety
"Die Spuehflutanlage  Kesselhaus Bl.2 HD-OElPp hat am 21.07.2023 um 18:50 
Uhr ausgeloest.",Process Safety,Bl. 2 Ausloesung der Spruehflutanlage,Non-Process Safety
WP4.1 Blockering av central,Process Safety,WP4.1 Blockering av central,Non-Process Safety
Oskarshamn 3 - RA3-25 ERF – Eskort utan eskortor,Process Safety,Oskarshamn 3 - RA3-25 ERF – Eskort utan eskortor,Non-Process Safety
Oskarshamn 3 - TIL - Utokat arbete pa AO/ABT som AGO:n inte tackte.,Process Safety,Oskarshamn 3 - TIL - Utokat arbete pa AO/ABT som AGO:n inte tackte.,Non-Process Safety
"Compressed Air Dryer Isolation Valve, 3 piece ball valve found with 3 out of 4 retaining bolts missing. Valve was is the closed position and locked off as part of an isolation for routine maintenance. Working party reported the issue after finding a bolt on the floor and confirmed it hadn't been there the day before. Valve inlet vented, valve outlet under service conditions (up to 10bar air). In comparison to equivalent valves on the system the remaining bolt appears non-standard. No process medium leakage had been detected.",Process Safety,"Compressed Air Dryer Isolation Valve, 3 piece ball valve found with 3 out of 4 retaining bolts missing.",Non-Process Safety
"on the 18/01/2021 it was noted that the Valve overhauled by Valve contractor and actuator installed in the wrong position, Actuator has two positions no process for stopping this happening again.",Process Safety,Steam Turbine cold reheat non return valve actuator installed incorrectly compromising functionality of valve.,Non-Process Safety
Steam leak discovered on Unit 1 A side reheat steam chest.,Process Safety,PSO - Steam leak from steam chest cover joint,Non-Process Safety
Scaffolder reported a smouldering cable that flashed to the walkway when he touched it.  Investigation found SWA cable supplying the 110V MASDAD units that are located across the 19m level of the HRSG was damaged.  This is a very  hot area and the insulation had burnt off and cable inside had perished leading to bare cables being exposed.,Process Safety,Exposed live cable,Non-Process Safety
"During the Feb22 outage, inspection of HP Mainsteam Pipework attachment weld reference -1/03DR identified deterioration of creep effected material resulting in an integrity risk. Repair not immediately possible. Restricted operation before monitor required. Station risk assessment required.",Process Safety,PEM-120 HP Mainsteam pipework attachment -1/03DR integrity risk.,Non-Process Safety
Hanvisningsskylt i sidotrapphus vaster pa plan 4 saknas,Process Safety,Hanvisningsskylt i sidotrapphus vaster pa plan 4 saknas,Non-Process Safety
During an inspection of the GT enclosure a hot air leak was noticed above the North Side MBH30 manway door.  Leak is from MBH30 system so approx. 370 degrees and 17 bar. No impact on local equipment. Access is restricted to the GT enclosure at all times.,Process Safety,GT hot air leak above North side MBH30 manway door.,Non-Process Safety
Einbruch einer Biberhoehle am rechten Dammkronenweg,Process Safety,FIS Unterhoehlung Dammkronenweg,Non-Process Safety
nicht mehr gueltige Pruefung von elektrischen Geraete / unzureichende Absicherung gegen ungeplanter Normalisierung,Process Safety,Elektrotechnische Sicherheit,Non-Process Safety
"Hot Reheater drain valve 933 drive shaft was found on the floor and appears to have broken away from it's position dropping some 10 feet to ground level.  The drive shaft is a substantial piece of steel, anyone underneath when the drive shaft fell could have been seriously injured.",Process Safety,PSNH - Unit 1 Hot Reheater drain valve 933,Non-Process Safety
"Environmental kiosk fault tripped the purge valve closed, and pressurised the pipe work to 4.5bar.
water was over flowing the tun-dish in the kiosk due to the pressure in the pipe line.
the initial fault was a Ammonia sample fault, that closed the purge valve.",Process Safety,Environmental kiosk fault.,Non-Process Safety
"Leidingmarkingen van de ammoniadoseerleidingen (oa 30/64 HSK) zijn aan vervanging toe. Basen moeten conform NEN 3050 aangegeven worden met een paarse markering. De huidige paarse markering is vermoedelijk door invloed van zonlicht op veel plekken vervaagd en wit geworden. Markeringen horen UV bestendig te zijn. 

(Het is verplicht om leidingen en opslagtanks voor gevaarlijke stoffen te voorzien van de juiste markeringen , zie, Arbo regeling artikel 8.12 en de Europese richtlijn 92/58/EEG is)",Process Safety,Leidingmarkingen ammoniadoseerleidingen niet duidelijk,Non-Process Safety
Schild ist verblichen und durch neues zu ersetzen.,Process Safety,Sammelplatz-Schild ist verblichen und nicht mehr lesbar,Non-Process Safety
"Nach Arbeiten an der Saeuredosierstation (Schwefelsaeure) in der KZA 4 im Rahmen des Stillstands Block 4 kam es beim Normalisieren der Freischaltung zu einem Austritt von Schwefelsaeure. Die Saeure trat innerhalb eines abgeschirmten Bereichs aus und wurde entsprechend des Anlagenaufbaus in die Auffangwanne geleitet.

Es kam zu keinem Schaden an der Anlage. Es wurde kein Mitarbeiter mit Saeure benetzt.",Process Safety,Austritt Schwefelsaeure in Auffangwanne,Non-Process Safety
Oskarshamn 3 - Kortstopp 1 2023 - 516 omkopplare ej i ratt lage enligt DO-3-016/23,Process Safety,Oskarshamn 3 - Kortstopp 1 2023 - 516 omkopplare ej i ratt lage enligt DO-3-016/23,Non-Process Safety
"Vor der Werkstatt ist beim Feurloescher ein Hinweisschild
anzubringen",Process Safety,Hinweisschild Feuerloescher,Non-Process Safety
"Oskarshamn 3 - Borrspan i aluminium pa golv i B8.30, vid ingang.",Process Safety,"Oskarshamn 3 - Borrspan i aluminium pa golv i B8.30, vid ingang.",Non-Process Safety
"Bombenfund (Phosphorbombe, ca. Groesse eines Hand-Feuerloeschers) beim Entladen einer Kippmulde auf dem Erdlagerplatz auf dem KW Scholven (Bereich Brache Tor Ost) fuer das Projekt BPGH. Der Aushub stammt aus der Baustelle Feldhauser Strasse (BPGH) ausserhalb des Kraftwerks. Die Bombe war bereits aufgeplatzt. Es zischte zum Zeitpunkt der Entdeckung noch leicht.",Process Safety,"Bombenfund bei Tiefbauarbeiten, Gelsenkirchen",Non-Process Safety
"during the high winds one of the lamp posts on the CDC approach road left hand side of the road has blown over and is resting on the security fence pillar post .
Close observation shows that the lamppost is severely corroded at the base",Process Safety,Blown over lamp post,Non-Process Safety
#NAME?,Process Safety,Sicherheitsbegehung GTKW Itzehoe 23.06.2022,Non-Process Safety
It was initially not recognised whilst trevitesting that the isolation valves were closed whilst carrying out the test thus not giving a reading. These valves are to be identified and entered into the LMI when carrying out these tests to open the isolators to allow a process flow.,Process Safety,Safety valve isolated whilst Trevitesting,Non-Process Safety
"Die BP Kondensatleitung vom Eckturm B. nach Kesselhaus DWS ist im 
Bereich Schraege(Frischluefter K7) auf der Rohrtrasse geplatzt.
Frostschaden
UEbernahme von Kondensat nicht gesichert.",Process Safety,Kondensatrueckfuehrleitung geplatzt,Non-Process Safety
"Aufgrund der Reparatur eines Rohrschadens wurde eine Ersatzversorgung fuer ein Krankenhaus in Gelsenkirchen-Buer eingerichtet. Das Hotmobil wurde sinngemaess  an die Primaer-Leitung des FH-Netzes angeschlossen. Der Schlauch wies im Bereich der Storzkupplung  einen radialen Riss um ca. 180 ° auf. Der Riss lag unterhalb einer Schelle, die zur Kennzeichnung der Schlaeuche dient und wurde deshalb erst erkannt als das System zwecks Inbetriebnahme mit ca. 70° heissem Ruecklauf-Wasser befuellt wurde.",Process Safety,Austretendes Ruecklaufwasser an aufgerissenem Schlauch bei Ersatzversorgung Krankenhaus,Non-Process Safety
Risiko Weniger: Aus dem Dach von dem ER Gebaeude lag eine grosse Plane. Dies haette die Ansaugung der Lueftungsanlage versperren koennen. die Plane wurde entfernt. durch P/VE,Process Safety,Risiko Weniger: Aus dem Dach von dem ER Gebaeude lag eine grosse Plane. Dies haette die Ansaugung der Lueftungsanlage versperren koennen. die Plane wurde entfernt. durch P/VE,Non-Process Safety
"MEL reduced on U2 to 400MW from 08:30hrs to 15:00hrs due to C, D & E coal feeders tripping/blocked.",Process Safety,Ops loss - U2 MEL reduced to 400MW due to tripping/blocked coal feeders on unit RTS,Non-Process Safety
"Zentraler Containerplatz an den Schweroeltanks: Gemaess Abstimmung in der Fruehrunde 04.04.2023 soll dieser Platz weiterhin als Containerplatz bestehen bleiben. Zaun dort NICHT schliessen, damit Zufahrt gewaehrleistet wird. Weiter Abstimmung / Entscheidung erforderlich, ob und wann diese Flaeche befestigt wird (Pflasterung)
HINWEIS: Auch die Muelltonnen rechtzeitig leeren / Container benutzen",Process Safety,"Begehung DWZ Aussenbereich, Umbau Kessel 2, Betrieb Kessel 1
faelschlicherweise geschlossener Zaun",Non-Process Safety
WP3 Gasflaskor blockerade,Process Safety,WP3 Gasflaskor blockerade,Non-Process Safety
"Die drei Unterflurschieber 00UJ00S553, 00UJ00S554 und 00UJ00S555 zum Freischalten des UEberflurhydrant 00UJ00Q012 sind nicht auffindbar. Hydrantenschild fehlt. Vermutlich liegen die Schieber im Gruenbereich oder im Bereich bzw. unter den Containern der Firma Rohrer. Zur Ortung der Schieber ist der Bereich dringend aufzuraeumen, Gruenschnitt durchzufuehren und gegebenenfalls sind die Container anzuheben bzw. zu versetzen. Nach dem Auffinden ist die Lage der Unterflurschieber zu vermessen und die dazugehoerige Beschilderung ist an einem sichtbaren Platz anzubringen.",Process Safety,"FEUERLOESCHHYDRANT, UMGEHUNGSSTRASSE -",Non-Process Safety
"Nach Reparaturarbeiten an den Gasanlagen, erfolgte bei der Inbetriebnahme die Dichtheitskontrolle mittels einem Gasspuergeraet, dabei wurden folgende Undichtigkeiten festgestellt:
Undichtigkeit an Verschraubung vom Kugelhahn vor Fuell-Vtl. 40NN50N001.
Undichtigkeit an Verschraubung Filter Hegewein-Flamme 40NN00S502.
Undichtigkeit an Stopfbuchse Abspr-Vtl. vor Hegewein-Flamme 40NN50S503.
Undichtigkeit an einem Flansch am Brenner 23 im Dom.",Process Safety,Undichtigkeiten Gasanlage GSt,Non-Process Safety
Genomlackage av anga i stangda ventiler pa Primarangledning A1:s stillestandsdran.,Process Safety,Genomlackage av anga i stangda ventiler pa Primarangledning A1:s stillestandsdran.,Non-Process Safety
A cart was left outside the fire exit of the library in the technology centre,Process Safety,Fire exit obstruction,Non-Process Safety
"Anlage ist sehr sauber und aufgeraeumt, Mitarbeiter identifizieren sich mit der Anlage -
dies ist positiv anzuerkennen.",Process Safety,"KGD-BGH, positive Beobachtung",Non-Process Safety
"A csővezetéken feltárt és javított eróziós lyukadás volt megfigyelhető. A csővezeték több pontján falvastagság csökkenés miatt további lyukadások előfordulását nem lehet kizárni.
Az intézkedés idején szivárgás, fellelhető lyukadás nincs.",Process Safety,Főgőz vezeték melegítő vonal erózió - HP warming line erosion,Non-Process Safety
Oskarshamn 3 - Lost hangande alarmknapp i rum 0.Q4.05,Process Safety,Oskarshamn 3 - Lost hangande alarmknapp i rum 0.Q4.05,Non-Process Safety
"Bij aflaten NG (lektest en trips) wordt 100% LEL gemeten op bordes ketel en t.h.v. branders 3 en 4 
Noot: betreft ATEX zones!!!",Process Safety,100% LEL tijdens aflaten NG DFB1,Non-Process Safety
Oskarshamn 3 - RA3-24 ERF - Forekomst av tra emballage och trapallar pa aktiv sida.,Process Safety,Oskarshamn 3 - RA3-24 ERF - Forekomst av tra emballage och trapallar pa aktiv sida.,Non-Process Safety
B2O - CCGT - Dalig belysning ovanfor hornan vid instrumentluften,Process Safety,B2O - CCGT - Dalig belysning ovanfor hornan vid instrumentluften,Non-Process Safety
Oskarshamn 3 - RA3-23 ERF - Olja och skrap i FME ZON,Process Safety,Oskarshamn 3 - RA3-23 ERF - Olja och skrap i FME ZON,Non-Process Safety
"Warte Block B: Nach Auskunft eines Mitarbeiters gibt es im Block mit den eingesetzten Firmen-IPhones immer wieder mal Probleme bei den Telefonaten: Mal bricht das Gespraech ab, mal ist die Lautstaerke unterschiedlich.
Ohne Bild
->Bei der Begehung waren auf der Warte zwei von 4 Balken auf dem Smartphones sichtbar",Process Safety,Nach Auskunft eines Mitarbeiters gibt es im Block mit den eingesetzten Firmen-IPhones immer wieder mal Probleme bei den Telefonaten,Non-Process Safety
Ein Tuerstopper zum Festsetzen der Zugangstuer zum 40 UPC ist offensichtlich abgerissen und liegt neben der Tuer.,Process Safety,KWD Abgerissener Tuerstopper am 40 UPC,Non-Process Safety
"Dosing pump 2 required isolation for maintenance work. To prepare for isolation the SAP open the demin supply valve in preparation for flushing the pump. It was at this point they noticed the pump was already electrically isolated so before flushing the pump the SAP went back to the permit office to find where the safety keys were being held. On return to the Ammonia room, the SAP could smell a strong smell of Ammonia and looking into the room saw that the tank was overflowing into the bund.",Process Safety,U7 Ammonia Storage Tank Overflowed into Bund,Non-Process Safety
"Begehung 40 URD, Kuehlturmpumpenbauwerk
Die Pruefung der Austausch Hydraulik Schlaeuche Rueckschlagklappen ist faellig.",Process Safety,"KGW2 Sicherheitsbegehung 24.08.2022
Pruefung Austausch Hydraulik Schlaeuche Rueckschlagklappen",Non-Process Safety
laskussen gevonden tussen jalouzien van de persklep van VLV 1,Process Safety,laskussen gevonden tussen jalouzien van de persklep van VLV 1,Non-Process Safety
Masoniteskivor pa gallergdurk vid HT och MT turbin.,Process Safety,Masoniteskivor pa gallergdurk vid HT och MT turbin.,Non-Process Safety
"Die Feuerwehrleitstelle wurde durch einen vorbeifahrenden Autofahrer ueber verdaechtigen Rauch ueber dem Kraftwerk informiert. Das Kraftwerk war zu dem Zeitpunkt im Verdichterbetrieb und der Rauch Wasserdampf aus der Rueckkkuehlanlage.
Folgender zeitlicher Ablauf:
15:18 Uhr Anruf von Herrn Schwarting ( Grossleitstelle Oldenburg ) Das Rauch gesichtet wurde.
-> Die Feuerwehr war zu diesem Zeitpunkt schon alarmiert worden und befand sich auf dem Weg nach Huntorf.
15:20 Uhr wurde Die Bereitschaft ( T. Entrup ) informiert.
15:21 Uhr Anruf der Feuerwehr ob das Kraftwerk in Betrieb sei.
15:24 Uhr wurde die AGN Bereitschaft ( O. Kuhlmann ) informiert. 
15:44 Uhr Rueckmeldung von Herrn T. Entrup, dass es sich wieder um Dampf vom Kuehlwassersystem handelt, was aber voellig normal sei.
15:56 Uhr wurde O. Kuhlmann informiert, der zu diesem Zeitpunkt schon in Huntorf war.",Process Safety,Feuerwehreinsatz in Huntorf,Non-Process Safety
Die obere Ablenktrommel der Spannstation hat an der Abstreiferkonstruktion geschliffen.,Process Safety,Kohlebandfoerderer 00ECA12 Wechsel Ablenktrommel,Non-Process Safety
"Report of a smell in the Water Treatment Plant. On investigation it was found that there was a leak from a flange causing HCl to be dripping in to the plant bund. The leak was isolated. The Area was barriered off, ventilated and the HCl liquid washed down into the plant bunded area.",Process Safety,HCl leak in Water Treatment Plant,Non-Process Safety
"Whilst setting up for purge and isolation of Ammonia unloading skid 'A' there was a release of liquid ammonia at the 'claw' coupling; the gas detectors initiated the deluge system, nobody was injured and the system was subsequently set up to drain and vent",Process Safety,PSNH - Ammonia leak from unloading skid 'A',Non-Process Safety
Maschinenhaus Krane CB 6: Steuerelement nicht gesichert; Schloss war offen,Process Safety,"Begehung - Block C
Maschinenhaus Krane CB6, Steuerelement nicht gesichert",Non-Process Safety
Vor der Staplergarage (neben Kabellager) ist der Deckel vom Gully/Ablauf in der Strasse defekt!,Process Safety,Defekter Gullydeckel,Non-Process Safety
"Voor het omleggen van de 8 bar gasleiding moest de oude gasleiding doorgehaald worden. Na vrijgave van de gasleiding, afsluiters veiliggesteld, drukloos, afgefakkeld, geinertiseerd en gemeten zijn de wzh begonnen om de gasleiding koud door te halen dmv een reciprozaag. Na een kleine zaagsnede was een sissend geluid hoorbaar en tevens een gaslucht waarneembaar.

In plaats van de veilig gestelde gasleiding is de aanvoer gasleiding welke nog onder 8 bar druk stond ingezaagd.",Process Safety,EDH: Ongecontroleerde gaslekkage tijdens sloopwerkzaamheden aan lage druk gasleiding,Non-Process Safety
"Bestehende Verriegelung durch eine stabile Schloss und Tuerverriegelung ertuechtigen. 
Massanfertigung und Montage durch unsere Ausbildungswerkstatt.",Process Safety,Abstiegstuere Wehrschuetz 1 Kraftwerk Kinsau,Non-Process Safety
A large quantity of glowing PF build up was found at the bottom of U3 ‘A’ side down comers. The PF was found glowing and would have almost certainly ignited.,Process Safety,PSO: Large quantity of glowing PF build up found.,Non-Process Safety
"Rod risk med ID GA13, Hantering av tunga parmar pa ergonomiskt olamplig hojd i tex konstruktionsarkiven hos TE.",Process Safety,"Rod risk med ID GA13, Hantering av tunga parmar pa ergonomiskt olamplig hojd i tex konstruktionsarkiven hos TE.",Non-Process Safety
WP3  Skrap i vask,Process Safety,WP3  Skrap i vask,Non-Process Safety
"While attempting to start Regen Unit 20 (QCA20), the cooling air control valve (QCA20AA116) became stuck closed, resulting in a trip of QCA20ZT003 as it exceeded the High trip level of 1100 degrees Celsius.",Process Safety,Regen Unit QCA20 trip - Valve QCA20AA116 failure to operate normally,Non-Process Safety
"Water is leaking from the drains manifold insulation to the blowdown vessel connection.
Defect 21552219 - PEM 120 applied",Process Safety,PEM120 - Drains manifold to the blowdown vessel water leak,Non-Process Safety
During the swap over from the 132kV to 11kV systems AC power was lost to the Seal Oil pumps briefly and the DC Seal Oil Pump should have started automatically but it didn't. Pump was given a manual on command and it started ok. Very small change in Seal Oil differential pressure and frame pressure changed from 5.464 to 5.417bar so a small amount of hydrogen was lost from the seals.,Process Safety,Emergency DC Seal Oil Pump failed to start on board changeover,Non-Process Safety
"U4 A & B Mill outlet temps increased rapidly due to loss of coal feed. Bunker levels observed as very low and blowing back and mill taken o/s.
Load dropped to 400MW from 07.45 to 08.45 whilst bunkers were filled.",Process Safety,Operational Loss - Low bunker levels causing blow back and loss of generation,Non-Process Safety
Starke Verschmutzung der Zentralsaeule im Kohlekreislager.,Process Safety,Starke Verschmutzung der Zentralsaeule im Kohlekreislager,Non-Process Safety
Durchfuehrung von Gruenschnittarbeiten im Bereich der gesamten Gleisanlage (Ende Gleis 1/2 bis Gleisanschluss) erforderlich sowie Freischnitt vom Oberbau und der Rangierwege. Ausserdem Wiederherstellung des Regellichtraumprofils erforderlich.,Process Safety,Gleisanlage - erforderlicher Gruenschnitt und Wiederherstellung des Regellichtraumprofils,Non-Process Safety
Smoke was reported coming from U3 HP Turbine No 2/3 bearing. On investigation the lagging on the under side of the HP turbine was found to be on fire within the lagging/insulation cover. Extinguishers were used to put out the fire from the under side and also close to No 2 bearing. The issue seems to be in the vicinity of No 2 bearing. Access is very difficult to this area as it is directly under the HP turbine.,Process Safety,PSNH - U3 HP Turbine bearing No 2 fire,Non-Process Safety
"Die Geruestbaukarten waren vorhanden und die Eintragungen fuer vor Benutzung waren
auch eingetragen.
Ort: UGB",Process Safety,"Ordnung beibehalten:
 Geruestbaukarten waren vorhanden und die Eintragungen vollstaendig",Non-Process Safety
"Er is een gat gevallen in de inlaatkast van condensor 3, hierdoor is er een grote hoeveelheid koelwater in de kelder terecht gekomen. Zie bijlage.
Gelukkig was de lekkage niet dermate groot dat de veiligheid voor de medewerkers in het geding kwam.",Process Safety,Gat gevallen in inlaatkast condensor  3,Non-Process Safety
"Level – Entwaesserungstopf HZUE konnten die drei Messungen 
01RB00L001, L002 und L003 keinen Hoehenstand messen. Die Hoehenstandsmessungen waren abgedreht direkt am HZUE-BEH.",Process Safety,Block 1 Level – Entwaesserungstopf HZUE  waren die Absperrventile fuer die Messung zu,Non-Process Safety
"2024-05-16 20:35-kor A tűzjelző központra tűzjelzés érkezett. A gőzturbina csapágyaknál lévő hőérzékelő aktiválódott.
Az ellenőrzés során rendellenességet nem tapasztaltunk, ezért a tűzoltók vonulását lemondtuk.
A füstelvezetőket és a teleszkóp kapukat visszazártuk. Az üres CO2 palackot kicseréltük.
Kérem a szekrények plombálását.
Az eset az SBT-nek bejelentve. Az eset a Synergi-be beírva.


2024.05.17-én az SBT az esetet kivizsgálta, oka ismeretlen, érzékelők tesztelve, rendben

2024.05.16-án 20:42-kor automata tűzriasztás érkezett a 13206-os zónaszámú kollektív vonalról (3db FDOOT241-A9 érzékelő). Tényleges tűzeset nem történt. A felülvizsgálat során konkrét kiváltó okot nem találtunk. Megmértük mindhárom érzékelő pillanatnyi környezeti hőmérsékletét hitelesített hőkamerával. A kisnyomású csapágynál 30°C-ot, a kuplungszerkezet környezetében pedig 43-43°C-ot mértünk. Ebből adódóan a kuplungszerkezetnél lévő két érzékelő működési módja továbbra is hőérzékelő maradt, de a paraméter készletüket hősebesség figyelés és hőmaximum 60°C-ról hősebesség figyelés és hőmaximum 80°C-ra módosítottuk, igazodva ezzel a környezeti feltételekhez. Teszteléssel meggyőződtünk az érzékelők megfelelő működéséről.",Process Safety,"Éles téves tűzjelzés

False fire alarm",Non-Process Safety
"Unit 2 came off load at 22:28 the MBFP was shut down in accordance with the revised procedure. At 01:17 the MBFP tripped off barring and would not initially hand barr. The bottom belt temperature had dropped to 121oC  some 200oC below the top belt temperature. Hand barring was commenced as the turbine would allow . The condenser was pumped out and upside down drains opened which returned the bottom belt temp to 216 at 03:18. Further problems were encountered with the barring motor and gearbox , eventually the MBFP was back on barring at 05:00.",Process Safety,Operational Loss - Unit 2 MBFP tripped off barring and seized.,Non-Process Safety
Brandlucka i trapphus oppen,Process Safety,Brandlucka i trapphus oppen,Non-Process Safety
"Stoomlekkage geconstateerd aan de handblokkeerafsluiter na de meng-vat. De mate van de stoomlekkage is zodanig groot, dat deze onder de categorieen onveilig, kritisch en onbetrouwbaar vallen.",Process Safety,Stoomlekkage handblokkeerafsluiter na meng-vat.,Non-Process Safety
"A nagynyomású 2-es eco elkerülő szelep tömszelencéje erőssen kifújt.

HRSG HP ECO 2 by-pass valve gland seal damage –actual status: out of
operation, no leakage, on-line fixing solution still not available",Process Safety,Tömszelence kifújás - HRSG HP ECO 2 by-pass valve gland seal damage,Non-Process Safety
"During plant walk about, we observed a redundant piece of pipework being moved around by the wind.",Process Safety,U2 Redundant Gas Vent pipework,Non-Process Safety
Am Ablasshahn des OElbehaelters M3 in SRG ist das Handrad defekt,Process Safety,Defektes Handrad SRG M3,Non-Process Safety
"Cold reheat Safety valves lifted during to a GT PLST,",Process Safety,Unit 8 Safety Valves lifted during a GT PLST,Non-Process Safety
"Kabelmanagement koennte besser sein
Ort: Kohlemuehlen",Process Safety,Kabelmanagement koennte besser sein,Non-Process Safety
Oskarshamn 3 - WANO Peer Review - 23 - Table with woodworking plane and 2 chairs inside the control room.,Process Safety,Oskarshamn 3 - WANO Peer Review - 23 - Table with woodworking plane and 2 chairs inside the control room.,Non-Process Safety
"Aktuell ergibt sich folgender Fall: wird eine Entwaesserung ueber laengere Zeit vollstaendig durchgewaermt, kann sie behinderte Dehnung erfahren. Die Spannungen werden aufgrund behinderter Waermedehnung ueberschritten und es kann theoretisch zum Abriss der Rohrleitung kommen. Personen in der naeheren Umgebung koennen im Schadensfall schwerverletzt werden.",Process Safety,Block 1- Unzulaessige Durchbiegung von Entwaesserungsleitungen,Non-Process Safety
"Beim hochfahren der Gasturbine 31 ueber 50% E-Last fuehrte die erhoehte Dampfproduktion im Abhitzekessel, die ueber Dach abgefahren wurde, zu extrem hohen Geraeuschemissionen. Daher wurde die Gasturbinenfahrt abgebrochen. Konstruktionsbedingt dauerte es anschliessend noch ca. 10 Minuten, bis das Geraeuschniveau wieder auf ein akzeptables Mass absank.",Process Safety,Unerwartet hohe Geraeuschemission bei Abhitzekesselfahrt,Non-Process Safety
"De grondafsluiter om de LD-gasleiding dicht te zetten buiten het hulpketelhuis is niet bereikbaar  door de aanwezige rijplaten.
In geval van lekkage aan de omloopleiding bij de tripklep kan door operations de grondafsluiter niet gesloten worden.
Dit na aanleiding van gescheurde leiding jaren geleden.",Process Safety,EDH. Gasafsluiter LD-gas niet bereikbaar.,Non-Process Safety
Kabel durch Brandschutztuer,Process Safety,Kabel durch Brandschutztuer,Non-Process Safety
